﻿变量名,窗口约束,Radius,DTW距离,对齐路径长度,标准化DTW距离,相似度
中国:开工率:聚酯产业链:精对苯二甲酸,启用,1,9.3292,56,0.1666,高度相似
中国:开工率:聚酯产业链:对二甲苯,启用,1,8.8412,56,0.1579,高度相似
中国:开工率:聚酯产业链:聚酯,启用,1,6.9315,56,0.1238,高度相似
中国:开工率:聚酯产业链:织造业,启用,1,7.1772,56,0.1282,高度相似
中国:开工率:聚酯产业链:乙二醇(综合),启用,1,8.9192,56,0.1593,高度相似
开工率:PTA装置,启用,1,9.3612,56,0.1672,高度相似
中国:日均产量:生铁:重点企业,启用,1,9.1569,56,0.1635,高度相似
中国:日均产量:粗钢:重点企业,启用,1,8.4658,56,0.1512,高度相似
中国:产量:钢材:重点钢铁企业,启用,1,8.4103,56,0.1502,高度相似
中国:开工率:线材:主要钢厂,启用,1,10.1218,56,0.1807,高度相似
用电量:石油和天然气开采业,启用,1,6.0872,15,0.4058,低相似
中国:产量:冷轧板卷:主要钢厂,启用,1,8.5929,56,0.1534,高度相似
用电量:有色金属矿采选业,启用,1,5.7502,14,0.4107,低相似
中国:产量:热轧板卷:主要钢厂,启用,1,7.9561,56,0.1421,高度相似
用电量:其他采矿业,启用,1,5.3486,15,0.3566,低相似
中国:开工率:产能(100-200万吨):焦化企业(230家),启用,1,9.1398,56,0.1632,高度相似
用电量:食品制造业,启用,1,5.6474,15,0.3765,低相似
中国:开工率(常减压开工率):山东地炼厂,启用,1,10.2559,56,0.1831,高度相似
用电量:烟草制品业,启用,1,5.8068,15,0.3871,低相似
用电量:纺织业,启用,1,6.3092,15,0.4206,不相似
用电量:纺织服装、服饰业,启用,1,6.6591,15,0.4439,不相似
用电量:皮革、毛皮、羽毛及其制品和制鞋业,启用,1,6.5212,15,0.4347,不相似
用电量:木材加工和木、竹、藤、棕、草制品业,启用,1,6.468,15,0.4312,不相似
用电量:家具制造业,启用,1,5.8706,15,0.3914,低相似
中国:产能利用率:成品油:主营炼厂,启用,1,7.1573,40,0.1789,高度相似
